TCGA-DJ-A4V2-01A;TCGA-DE-A0Y3-01B;TCGA-EM-A2OX-01A;TCGA-ET-A2N5-01A;TCGA-ET-A3BV-01A;TCGA-FE-A237-01A;TCGA-EL-A3CM-01A;TCGA-EM-A3AI-01A;TCGA-EL-A3H1-01A;TCGA-DJ-A1QE-01A;TCGA-EM-A4FR-01A;TCGA-EL-A3CR-01A;TCGA-FY-A3NN-01A;TCGA-EL-A4K1-01A;TCGA-EL-A4K0-01A;TCGA-ET-A3DW-01A;TCGA-EL-A4K1-01A;TCGA-EL-A3T0-01A;TCGA-EL-A3MZ-01A;TCGA-EM-A4FO-01A;TCGA-DJ-A1QH-01A;TCGA-EM-A3OB-01A;TCGA-DJ-A3V5-01A;TCGA-EL-A4K2-01A;TCGA-EM-A1YC-01A;TCGA-EM-A1CW-01A;TCGA-EL-A3T8-01A;TCGA-EL-A4JZ-01A;TCGA-EM-A3OB-01A;TCGA-DJ-A2PO-01A;TCGA-EL-A4K1-01A;TCGA-EM-A3OA-01A;TCGA-DJ-A13P-01A;TCGA-EL-A3ZK-01A;TCGA-DJ-A3UZ-01A;TCGA-CE-A485-01A;TCGA-BJ-A0ZH-01A;TCGA-FK-A3SG-01A;TCGA-J8-A3YD-01A;TCGA-EL-A3N3-01A;TCGA-DJ-A3UX-01A;TCGA-FY-A40K-01A;TCGA-ET-A3BS-01A;TCGA-DJ-A4UP-01A;TCGA-BJ-A28W-01A;TCGA-EM-A3AR-01A;TCGA-EM-A2CJ-01A;TCGA-EM-A1YC-01A;TCGA-J8-A42S-01A;TCGA-EM-A1YC-01A;TCGA-EM-A1YD-01A;TCGA-DJ-A3VB-01A;TCGA-DJ-A3VA-01A;TCGA-FE-A233-01A;TCGA-ET-A39I-01A;TCGA-FY-A40M-01A;TCGA-E8-A413-01A;TCGA-CE-A485-01A;TCGA-EL-A3ZQ-11A;TCGA-BJ-A3PR-11A;TCGA-KS-A41J-11A;TCGA-EL-A3MY-11A;TCGA-BJ-A2NA-11A;TCGA-EL-A3GZ-11A;TCGA-EL-A3T8-11A;TCGA-EL-A3TB-11A;TCGA-EL-A3ZT-11A;TCGA-DO-A1JZ-11A;TCGA-H2-A2K9-11A;TCGA-EL-A3ZG-11A;TCGA-EL-A3MW-11A;TCGA-BJ-A28R-11A;TCGA-EM-A1YC-11A;TCGA-ET-A2MX-11C;TCGA-BJ-A290-11A;TCGA-EL-A3TA-11A;TCGA-BJ-A2N9-11A;TCGA-BJ-A3PU-11A;TCGA-EM-A1CT-11A;TCGA-EL-A3ZS-11A;TCGA-BJ-A2N7-11A;TCGA-EL-A3ZH-11A;TCGA-ET-A3DW-11A;TCGA-ET-A2N5-11B;TCGA-EM-A3ST-11A;TCGA-EL-A3T1-11A;TCGA-EM-A1CV-11A;TCGA-EM-A1CW-11A;TCGA-EL-A3N3-11A;TCGA-EL-A3MX-11A;TCGA-EL-A3ZL-11A;TCGA-EL-A3ZR-11A;TCGA-EL-A3ZK-11A;TCGA-GE-A2C6-11A;TCGA-BJ-A28W-11A;TCGA-EL-A3ZP-11A;TCGA-EL-A3T7-11A;TCGA-KS-A41I-11A;TCGA-BJ-A28X-11A;TCGA-EL-A3T0-11A;TCGA-EL-A3T6-11A;TCGA-EL-A3H1-11A;TCGA-EL-A3N2-11A;TCGA-E8-A2JQ-11A;TCGA-EM-A1CU-11A;TCGA-EL-A3ZO-11A;TCGA-EL-A3H7-11A;TCGA-KS-A41L-11A;TCGA-EM-A1CS-11A;TCGA-EL-A3H2-11A;TCGA-BJ-A2N8-11A;TCGA-FY-A3TY-11A;TCGA-EL-A3T2-11A;TCGA-EL-A3ZM-11A;TCGA-EL-A3T3-11A;TCGA-ET-A3DP-11A
9.057991722759176;8.686500527183219;9.39231742277876;9.14974711950468;9.558420713268664;9.426264754702098;9.18239435340453;9.164906926675688;9.614709844115207;9.469641817239516;9.057991722759176;9.807354922057604;9.139551352398794;8.618385502258606;8.794415866350105;9.169925001442312;8.618385502258606;9.46352437327118;9.264442600226602;10.057991722759176;9.689997971419446;9.620219825507489;9.330916878114618;9.638435913990472;9.451211111832327;9.792790294301064;9.252665432450248;10.057991722759176;9.620219825507489;9.627533884472792;8.618385502258606;10.61378946447258;9.192292814470768;9.447083226209651;9.164906926675688;9.398743691938192;9.4797802640291;9.060695931687556;9.154818109052105;9.451211111832327;9.428360172704291;9.257387842692651;10.001408194392807;9.164906926675688;9.67065624911844;8.915879378835774;9.445014845868425;9.451211111832327;9.194756854422248;9.451211111832327;9.090112419664289;9.703903573444665;9.250298417906333;10.36194377373524;9.60177078840771;9.473705749619416;9.51175265376738;9.398743691938192;9.23840473932508;9.804131021183318;9.481799431665753;9.26209484537018;9.442943495848729;9.055282435501187;9.233619676759702;9.672425341971495;8.754887502163468;9.118941072723509;9.611024797307351;8.169925001442312;8.939579214314692;9.661778097771988;8.854868383260236;9.312882955284357;9.569855608330949;9.64745842645492;9.935165049603697;9.640244936222343;9.72451385311995;9.564149489985732;9.39231742277876;9.269126679149418;9.447083226209651;9.453270634010623;9.057991722759176;9.581200581924955;8.957102041562287;7.700439718141092;9.7515440590891;9.842350343413807;9.005624549193879;9.139551352398794;9.485829308701904;9.654636028527968;9.560332834212442;9.41574176829009;8.954196310386875;9.7714894695006;10.1357092861044;9.41574176829009;9.489847960439295;9.79603960882977;9.113742166049189;10.20212382383046;8.640244936222345;8.918863237274595;9.154818109052105;9.501837184902296;9.899356922923111;9.620219825507489;10.030667136246942;8.658211482751796;9.434628227636724;9.337621901992508;9.679480099505446;9.257387842692651
16.024079131005227;15.43250927757367;15.759940182538497;14.572167287643708;15.91244497310361;15.679397626013944;15.133704150214022;16.124828104483893;16.199499818372814;16.102324323876104;14.40047922497788;15.260882789739387;15.439214049340384;14.891166629310485;15.469482837323667;15.787009778853712;14.891166629310485;15.256356135514164;15.913310185608784;14.928333307585149;15.886625400039287;15.006238406011713;16.07280253454421;15.61649141050838;15.700412624004448;14.860844497351476;15.776690046152304;14.671872733453272;15.006238406011713;15.1070944478413;14.891166629310485;15.761577202383563;16.01478329940854;15.227916724201489;15.511690893239924;15.161446847518008;15.321716747126032;16.111441362665214;15.65985656487418;15.558749539465913;15.867375276565458;15.490600213019594;15.964228040007171;15.196678961665036;13.710053040024412;15.91468877629265;15.56379210712418;15.700412624004448;15.926527652543044;15.700412624004448;16.486536523723284;16.04298454910378;15.829004181238506;16.81535827660657;15.785145913982182;15.913520564269817;15.312244829933343;15.161446847518008;15.963392840038406;14.600377553107844;16.18359661550095;16.090608674341276;15.380866867456533;15.462981472451387;15.478548446573452;16.207052461991463;15.805290440031529;16.400662668940345;16.325621677625207;14.875605381852449;16.19834911439086;15.407765663075432;14.782486378978945;15.496572948686955;16.68071663644777;15.967834159685438;16.10470112100432;16.162076570374314;15.850040294276956;12.340128273700588;16.54307714550171;16.263360906611744;15.66266837551754;15.862443642212297;15.08219063136327;15.503794687923309;15.876061236205071;15.381272555711789;15.66041379438262;16.165201436378236;15.675516044082778;15.644644947968796;15.626564618694632;14.756869011549092;13.990990303530822;15.593040911589412;16.003210437026794;14.91564600478507;15.078275920403948;15.78481374010061;15.693677518307336;15.84379840129866;15.713332810280487;15.392988162965136;15.677471904877132;15.38562651473644;16.02524772573819;16.150421637625772;16.251020029107448;15.843234077004007;16.849502841203268;15.615715837490388;15.41131236544125;15.147403695287522;15.916462648854507;16.239150973780703
12.98903963696239;13.280045761300384;12.944712061043486;12.399811959325683;13.237359362198834;13.450309145537936;13.065584428061502;12.5473765634981;13.451726268074506;13.849991443179317;11.965784284662089;12.719388820942084;13.047294352783004;12.042685372219353;13.424428764037762;13.235715094761895;12.042685372219353;13.113416611485944;13.523071826940395;12.82097669262124;13.831307243802051;13.124121311829189;13.53503231452927;12.715533063526584;13.153552031708111;13.14863546054867;13.12573632939501;12.946358033887046;13.124121311829189;13.37218489648635;12.042685372219353;13.969296574957337;13.344295907915816;13.136029849385553;13.143702076857933;13.303067213842914;12.90444646450572;13.117967703717133;13.027733249752831;13.201051814303272;13.543756853375896;13.290594888082572;13.393122273589531;12.775816012673026;11.358651200892886;13.194756854422248;12.557942286787448;13.153552031708111;12.659103963473662;13.153552031708111;13.144658242831882;13.185804615108458;13.488969836392693;14.50884704710649;13.154343460243451;13.228968963402728;13.25974326369078;13.303067213842914;13.485326189240524;11.701306461958623;13.56379210712418;13.513850940118791;12.81678367937856;13.360572781480696;13.313449940963055;13.43827205612483;13.386670859637618;13.187042714339894;13.909143047339898;11.529918528120325;13.524051918717824;13.25797705856398;12.114393054867309;12.844901876019785;14.000528233986822;13.7238742188639;13.031701202740305;13.59735425297161;13.264442600226602;10.8193807908646;13.54978466794786;13.336646024747372;13.117967703717133;13.261213451366048;12.32895536178133;13.313449940963055;13.061539958530144;13.193371349821495;13.928795932261515;13.662557120839184;13.666667840690357;13.295625461192714;13.094242668809017;12.936453910041177;11.14210705730255;13.215381320721084;13.413098984915264;13.005273656563938;13.661889412539288;13.243769031961852;13.032390168866524;13.496354488564617;13.699138625275914;13.285257710919934;13.219319801859132;13.20074537950159;13.213559927476458;13.173833263682058;12.97656412341533;13.61114009761038;14.147363943409283;13.376939321619846;13.782793498733351;12.720458038393296;13.325867580575418;13.673640336144274
10.430452551665532;10.661778097771988;10.93737382019215;9.837627933171404;10.52258153125483;11.082814337672271;11.020979938904212;8.980139577639157;8.184875342908283;11.280190792216906;11.01262453886506;10.946906274456396;10.900112062977456;11.068778277985412;11.943247395901553;11.52552080909507;11.068778277985412;10.571752643503546;10.070120944476823;12.124444460008585;11.549303368513575;8.434628227636725;11.78953364497036;9.312882955284357;11.26620091249896;8.710806433699352;11.243173983472952;11.674192268145683;8.434628227636725;11.33427328530719;11.068778277985412;7.22881869049588;12.421012855779226;9.842350343413807;10.419960177847887;10.122827994807666;10.987974524296153;11.135067945777816;10.12670447284319;9.64745842645492;11.279610581052484;11.835260918627489;12.79766152585376;11.14274527675153;12.588011853215088;10.827342704234116;8.479780264029099;11.26620091249896;11.712527000439824;11.26620091249896;9.022367813028454;12.020632761657708;11.117643101389092;11.137631598235428;9.970105890612182;11.26620091249896;11.16804526822409;10.122827994807666;10.861862340059153;11.162391328756906;10.83289001416474;9.693486957499324;11.194756854422248;9.409390936137704;10.542064542283445;10.105908508571158;10.002815015607052;9.871905237659186;11.54882190845875;9.400879436282183;10.034798962577268;11.61194694181998;10.41679752760606;10.326429487122304;10.269126679149418;10.852529509404196;12.4542992936199;10.400879436282183;10.030667136246942;12.079818085212354;10.788718332690458;10.353146825498085;9.73978060977326;10.496853777388042;9.533329732305834;11.066761932386909;9.90388184573618;9.430452551665532;11.637530551525307;10.579315937580017;10.838416075797335;10.074141462752506;11.28886607416582;11.456354415108288;8.703903573444663;11.768597882194374;10.987974524296153;12.543273538449805;13.25915476886684;11.096715154488535;11.37937836707126;11.156715144224702;10.572700226487292;12.735132884139947;10.118941072723509;9.581200581924955;10.668884984266247;10.577428828035748;9.782998208920414;10.430452551665532;11.29117069932186;9.871905237659186;9.590587049915037;8.974414589805527;10.562242424221072;9.957102041562289
12.296916206879288;11.159871336778387;11.557942286787448;10.89178370321831;12.332316330199218;11.93110683302934;11.29232163280204;12.198138052401116;11.762797262498232;12.06339508128851;12.116343961237469;12.203959703239462;11.365775635326267;12.019243216603607;11.616089313582115;11.89026427702111;12.019243216603607;11.75112558336727;12.695445810537382;12.397139806235604;12.24852060493843;12.174613647235942;11.938844457466171;11.543515216152167;12.071797522284209;11.683871868622605;12.053925881531104;12.692179576312538;12.174613647235942;11.615169813843602;12.019243216603607;12.664891669286089;11.103943429891558;12.659772961881613;11.247927513443583;11.644757592516257;12.345405246717796;12.6373041221062;11.63254087654689;11.961811408087163;11.261507309202056;11.63662462054365;11.499845887083206;11.944346034137832;11.61286849729104;11.036173612553483;11.56081046872794;12.071797522284209;11.92035285541508;12.071797522284209;10.754887502163468;13.455969302758032;12.608947814565514;12.450438032395652;11.237807473723135;12.639114563179414;11.872674880270605;11.644757592516257;11.338736382573916;12.062383491876334;10.94397991434374;10.799281621521924;10.493855449240822;10.067434360756522;10.760719947465624;10.79766152585376;10.286557761607956;10.083479327331842;10.676838606474153;10.449148645375436;10.578372691360803;10.531381460516313;10.638435913990472;10.926295994781112;10.981567281903017;11.241387363998935;11.322491537597468;11.243769031961852;10.854089179870574;11.581200581924955;10.778898476008376;11.02997734658958;10.63117705570398;10.857203471508166;11.082814337672271;10.851749041416058;10.526499239136566;9.489847960439295;11.040289721025715;11.252074042796185;10.733015321685963;10.938844457466171;10.810571634741146;10.480790201095816;11.660441650209172;10.826548487290914;10.708221730038352;11.1767964781476;11.271463027904376;10.77561028075954;10.987264012072538;10.922584402713664;10.725366257895642;10.926295994781112;10.15608307628868;10.91139198784346;10.825753832883112;11.29232163280204;10.99929538702341;10.828136484194108;10.878817284614229;10.323054760341646;10.762382038710392;10.715104009236168;11.124121311829189;10.497851836951115
12.588011853215088;12.67661826358852;11.043027283594547;13.582730044700748;11.744833837499543;11.812979471251484;12.2600374211066;11.48733761520718;12.461735221604863;11.692179576312538;13.679480099505446;12.688031702413934;11.426264754702098;11.273212809854334;11.836444911341369;11.095397022792556;11.273212809854334;14.14974711950468;12.93755773185546;11.637530551525307;10.86727873970966;14.679590056827315;11.791162888555018;14.47281774209204;11.187352073200495;14.137551553014395;11.709514660706716;12.664447284547972;14.679590056827315;10.530406337099068;11.273212809854334;15.857227775465187;9.643856189774723;13.637417341257986;13.88826759855572;12.289442575688332;11.032734528586714;14.126785122145328;12.39473062943157;10.977279923499916;14.013235425078475;11.690871009292314;12.241387363998935;13.37381675079274;12.636171441635922;13.915692682615404;13.599680430581166;11.187352073200495;12.96686590038754;11.187352073200495;12.43254190038826;13.778487861222372;12.557942286787448;10.73893668167614;12.34179677239183;11.068106475858771;13.008953779526196;12.289442575688332;13.944986520293032;13.116343961237469;12.317129926384542;13.982369745096536;12.031701202740305;12.035830072835015;12.619761463298424;12.532112370794998;13.070120944476823;12.151967870968187;13.250002267840449;12.367687756270046;12.898601387403938;11.430975172588068;12.391243589427445;12.1331422124006;11.233619676759702;14.721259431774518;13.10443495055075;12.58941707576861;12.715318552331349;13.125252013928852;13.790959333698824;13.619073646817748;11.21856323619027;13.43306376512207;11.588246152044816;14.330566802880345;13.639340708652233;12.766735939529964;13.34179677239183;12.33147682185962;14.639623340652529;13.749974148845798;12.3701424794954;12.722380635163802;13.003869231979056;13.148158772937894;13.943338981049395;12.322491537597468;12.934612328171395;12.66222330531784;15.53107680524311;13.050868963290736;13.588246152044816;13.101647450030766;12.735767547266637;14.658769347899648;15.613847005405518;13.493980504070432;11.509775004326936;11.812979471251484;11.823367240046236;14.026955633002878;14.221285017810471;13.809768128710411;12.375039431346924;14.81818270494864
13.971902746045467;14.037632744408544;14.032734528586714;13.303209948944776;13.679590056827315;13.97271060143245;13.67529549909406;12.6965329140783;13.653740778706569;14.183480311333778;11.771902080697716;13.3607099393494;13.82714419098428;12.987264012072538;13.598866694990017;13.944437549570695;12.987264012072538;13.501588422932391;14.02436054588832;12.603626344986193;14.299637328029158;13.715104009236168;14.030322282644034;13.157031074378354;13.214774445103387;13.52833200886121;13.651163836621162;12.719816603018126;13.715104009236168;13.813781191217036;12.987264012072538;14.390706372872774;13.809567182259656;13.783612165256038;13.38275910405649;13.652620934638165;13.498973829262413;14.130972685349182;13.149905858025049;13.7918751044647;13.774684123919856;13.199365616857982;13.807354922057604;13.408462432884376;11.228217442293436;13.526621496247854;12.398476501449256;13.214774445103387;13.420618191560957;13.214774445103387;13.078484417411447;14.021413793008133;14.18541749109806;15.242950776999097;14.193448357216475;13.327131562682846;13.465948964154254;13.652620934638165;13.249261626599845;12.180530807344482;13.51224664282918;13.805844615494482;13.002990771840553;13.255766257128808;13.415345659275324;13.54677390880832;13.200438879597977;13.255618749839597;13.811876378336391;12.026523442519766;13.429145170478744;13.325867580575418;12.322773176454564;12.803727526553114;13.985308297255852;13.474466464132632;12.961630562578824;13.646108641506103;13.54617100226735;10.696098170955864;13.57187112541885;13.33552992757082;13.618041306851776;13.445144206553636;12.456611099574918;13.194756854422248;13.480790201095816;12.981567281903017;13.730151673173312;13.70433597118232;13.305634287546711;13.270587340447513;13.188434307113564;12.808159772868375;11.525031345124;13.18997894863252;13.220982851081777;12.808360915432784;13.35231935484684;13.37232095486726;13.153552031708111;13.80302113929134;13.60813929084344;13.248224089668474;13.338736382573916;13.155766938445652;13.35933777352322;13.30063855399372;13.267518241801469;13.536732889835417;14.225508720236;13.068274455720507;13.30862344513114;12.75258971764099;13.418379719364957;13.517546370010448
12.020632761657708;12.363313464373478;11.984418458801136;11.720671786825555;11.597587039586216;12.182083929510725;12.134747168669016;12.545688495560212;12.562003863651553;12.347621368568134;11.924441392339196;12.274669342073851;11.650154213675094;11.957827560833744;11.553149275598548;12.227916724201489;11.957827560833744;12.365502268193117;12.404343291585755;12.141468555393084;12.66266837551754;12.33371442609397;12.107870914279614;12.340128273700588;11.90651484484695;12.434106928609957;12.067098185748383;12.073806847178492;12.33371442609397;12.08115052127187;11.957827560833744;12.927963101003469;12.194756854422248;12.133463346523438;12.194141238863136;11.993292241488549;12.784430367484626;12.49160260669611;12.29318423075951;11.813781191217036;12.086467993464067;11.570804437724496;11.777255315191924;12.254733389246674;11.800899899920305;12.111135670234708;12.53818893205242;11.90651484484695;11.665335917185176;11.90651484484695;12.102959885910124;12.876900591040306;12.0744760007345;13.201511344500146;12.244661144764198;12.219168520462162;12.070791809423062;11.993292241488549;12.43306376512207;12.298635406734242;12.39419471001943;12.030667136246942;12.1270270430046;12.199672344836364;12.234518085739987;12.492604304386685;12.088125692188209;12.004571615167656;12.390168956200185;11.389631339260522;12.034798962577268;11.883025068440173;12.053586543639174;12.347898144596012;12.733650916838716;12.41415667927414;12.265615046484458;12.654188473059545;12.450695771572915;10.59898297103609;12.484319423644267;12.090112419664289;12.127349541059118;12.491352073563435;12.273212809854334;11.91737207947684;12.44190670454224;11.240791332161956;12.177730967033272;12.82097669262124;12.345959596404112;12.235715094761895;11.798471801101618;11.325305455089682;11.733015321685963;11.669328004395904;12.370687406807216;11.896710815726117;12.187352073200495;12.096715154488535;12.043710863347156;12.220680621052203;12.168358727223886;11.642954223480332;11.760719947465624;12.14433959124784;12.111461739857722;12.286557761607956;12.240195053979924;12.208539206738363;12.709730036543627;12.038918989292302;12.582377235640692;11.860311054919482;12.459431618637296;12.3009244909763
12.621365094314864;12.831505185085328;12.290018846932618;11.888362741170644;12.654859754207394;12.596655667674662;12.220378327695228;11.60408986146918;12.5427900615549;13.087297080919154;11.32755264408124;12.079484783826816;12.085804380278086;11.776021715252812;12.456611099574918;12.85972889267839;11.776021715252812;11.94288099715904;12.622280655215585;11.657765035265363;13.102959885910124;13.02167404285837;12.543515216152167;12.039261794341057;12.966685687403618;12.141468555393084;12.275542556086725;12.202736043250168;13.02167404285837;12.500592945893834;11.776021715252812;12.805542364358724;12.175237650291036;12.01227534485612;12.443461612227392;12.203348002979762;12.646783691837792;12.596888567027964;12.20304205556246;12.622280655215585;12.378836713210614;11.807757403589267;12.645883554519004;12.136350341454156;10.932952892194717;12.39740724437538;12.164906926675688;12.966685687403618;11.793603309279408;12.966685687403618;11.71853287606922;13.404476350847172;12.587308728333545;13.64374347482167;12.410716333604269;12.58096513597733;12.4812949046311;12.203348002979762;12.460711852141213;11.5980525001616;12.60293079091524;12.871327736134008;12.37531099747307;12.301210371298426;12.723447638422918;12.178664851006472;12.222794902868111;11.993646060016596;12.97280033522448;11.43827205612483;12.4655664048094;12.34318571544788;11.82137539237254;12.004922678569043;13.015937673309226;12.357826882210777;12.025831668332026;12.439830883981392;12.621822947394202;11.023754353299417;12.735979039613404;12.250002267840449;12.870557374326417;12.720244258287568;11.828533210455618;11.850186837645774;12.600377553107844;12.334552633752422;12.62844554013718;12.612177385880992;12.824362133569483;12.037203741151972;11.836444911341369;12.340684654363438;10.802516365121225;11.794415866350104;12.27786854617684;11.800495500466813;12.33622758948339;12.271463027904376;12.279900715802762;12.809768128710411;13.456097684964202;12.404875455015208;12.95637615724967;12.23212108408222;12.616319096976865;12.266493756312183;12.220075970984304;12.562480945349316;13.143702076857933;12.06204613772049;12.626393504173995;11.85642552862553;12.502831804066744;12.810370800183728
15.74236207285876;16.08594957174813;16.04161637660079;14.803677081788658;15.685268939814089;15.073890508348216;14.657597581833466;13.70433597118232;15.702984297726418;16.04174469790549;14.682171644271492;14.831406217838442;14.702659707570357;14.513542559928045;15.36584396901679;15.620735308982333;14.513542559928045;14.968441804494772;15.636681257899273;14.605884582552475;15.449116395930568;14.89585924951887;14.72136625059886;14.4360608294651;13.639001477148325;14.21515377227958;15.116059618317449;14.901621158346112;14.89585924951887;14.93004427839366;14.513542559928045;14.813330278557986;14.837135125296111;15.234143816653166;14.485514879600364;15.174379576489766;15.52399068248441;15.126583490436024;14.862588931160628;15.547557310825503;14.388017285345136;14.111217194549756;14.406404332341255;14.7132791036247;11.378836713210614;14.037289552009453;14.374360292304637;13.639001477148325;14.121857245612654;13.639001477148325;13.888172449665932;16.064490169977503;15.323793656665552;16.71205673676569;15.407367357758496;15.046314043841186;14.877475866534429;15.174379576489766;13.279320387942608;13.090608674341276;13.637530551525307;14.081400216090197;13.065416134676548;13.78320289006439;13.401146182153498;13.29619926851494;12.87824254386927;13.918956383482517;13.691089186236532;11.50084187955693;13.651724433108065;12.97710100677111;12.64565843240871;12.955104980216555;14.050783956364931;13.415081526165672;13.296486086615465;13.482303782323182;13.326429487122304;9.850186837645774;13.632200042185133;13.199058823653022;13.523929443651667;13.658546227725854;12.749031382040204;14.038404628941894;13.465056167831175;12.470913026274877;13.79796543240424;14.004044859837435;12.585432051592962;13.07865119332527;13.524419281544802;12.121857245612654;13.11504365016171;13.443202577297011;13.088788238716909;12.398476501449256;12.998766701361516;12.908767882849189;13.20869160678508;14.035658272294071;12.60408986146918;12.798269274949693;12.467860240707878;13.11699367754698;13.221889161471266;13.251186503524336;13.47281774209204;13.618041306851776;14.39332341615394;13.125574908970686;13.101319154423276;12.381542951184583;13.501588422932391;13.746409348239164
